,Region,Station_Location,AIS_Channel,year,month,day,hour,minute,second,TimeZone,ID,AIS_Class,Message_Type,Repeat_Indicator,MMSI,Speed_Over_Ground_SOG_knots,Position_Accuracy,Longitude_decimal_degrees,Latitude_decimal_degrees,Course_Over_Ground_COG_degrees,True_heading_HDG_degrees,Navigation_Status,TimeStamp_s
0,P,Parke,B,2018,5,1,2,56,9,GMT,1,A,1,0,368251000,12.3,0,-123.47822,49.10687833,132.6,131,0,10
1,P,Helmcken,B,2018,5,1,2,56,9,GMT,2,A,1,0,366971980,12,1,-122.7478667,48.52128667,356.1,511,0,9
2,P,Parke,A,2018,5,1,2,56,9,GMT,3,A,3,0,316021279,0,1,-123.4292733,48.43138667,287.6,44,0,9
3,P,Discovery,A,2018,5,1,2,56,9,GMT,4,A,3,0,316030917,0.5,1,-125.2336633,50.07867833,237.2,354,0,10
4,P,Helmcken,A,2018,5,1,2,56,9,GMT,6,A,1,0,367753860,0.1,1,-122.5907833,48.51165,31,222,0,10
5,P,Bowen,B,2018,5,1,2,56,9,GMT,12,A,1,0,366982320,0.1,0,-122.7227667,48.81898333,178,101,0,10
6,P,Helmcken,A,2018,5,1,2,56,9,GMT,13,A,1,0,366972850,0,0,-122.4965817,48.39830333,276,511,0,9
7,P,Parke,A,2018,5,1,2,56,9,GMT,16,A,1,0,367382440,0,1,-123.15733,48.61052,223.5,136,0,10
8,P,Annacis,A,2018,5,1,2,56,9,GMT,18,A,1,0,316006988,0,0,-123.0893233,49.20015167,280.4,511,15,9
9,P,Helmcken,B,2018,5,1,2,56,9,GMT,19,A,3,0,316003800,7.9,1,-123.2081517,48.55676333,344.7,350,0,9
10,P,Calvert,B,2018,5,1,2,56,9,GMT,20,A,1,0,316007789,8.4,1,-128.9458433,51.32654667,307,310,0,11
11,P,Annacis,A,2018,5,1,2,56,9,GMT,24,A,1,0,367705050,5.7,1,-122.731995,48.72029333,337.4,326,0,20
12,P,WestVan,A,2018,5,1,2,56,9,GMT,25,A,1,0,316007587,0,1,-123.1680567,49.11981333,310.5,511,9,10
13,P,Ozzard,A,2018,5,1,2,56,9,GMT,26,A,1,0,229857000,18.1,1,-124.9427667,48.47511667,90.2,88,0,7
14,P,Watts,B,2018,5,1,2,56,9,GMT,28,A,1,0,316001247,0,1,-123.2720967,49.37615833,0.5,180,0,8
15,P,Texada,A,2018,5,1,2,56,9,GMT,29,A,1,0,316026226,0,1,-125.2388033,50.02425,0,343,0,9
16,P,Parke,B,2018,5,1,2,56,10,GMT,35,A,1,0,316001251,12.9,1,-123.270465,49.380675,350.8,350,0,9
17,P,Newton,A,2018,5,1,2,56,10,GMT,42,A,1,0,316005625,0,0,-123.0605317,49.29054667,280.8,511,15,9
18,P,WestVan,B,2018,5,1,2,56,10,GMT,48,A,1,0,316011649,0,1,-123.0839583,49.30976167,271.5,35,15,11
19,P,Newton,A,2018,5,1,2,56,10,GMT,50,A,3,0,316003666,0,1,-123.10679,49.312315,329.9,91,0,9
20,P,Annacis,B,2018,5,1,2,56,10,GMT,51,A,1,0,316007566,0,0,-122.92065,49.19282333,308.8,511,15,11
21,P,Ozzard,B,2018,5,1,2,56,10,GMT,53,A,3,0,212125000,13.3,1,-126.3494967,48.46686333,90.6,90,0,9
22,P,Parke,B,2018,5,1,2,56,10,GMT,57,A,3,0,368004090,0,1,-123.0155733,48.53697333,360,310,0,10
23,P,Hays,A,2018,5,1,2,56,10,GMT,58,A,1,0,316194000,0,1,-130.3545283,54.29862667,338.6,337,4,9
24,P,Texada,B,2018,5,1,2,56,10,GMT,62,A,1,0,316030627,14.3,1,-124.662995,49.80315,66,65,0,9
25,P,Helmcken,A,2018,5,1,2,56,10,GMT,63,A,1,0,316011982,0,0,-123.3757317,48.43025167,324.2,511,15,11
26,P,Hays,A,2018,5,1,2,56,10,GMT,71,A,1,0,316003050,0,0,-130.35655,54.2916,256,40,0,22
27,P,WestVan,A,2018,5,1,2,56,10,GMT,72,A,1,0,316005717,0.4,0,-123.1099017,49.20466,257.7,511,0,9
28,P,VanInlet,A,2018,5,1,2,56,10,GMT,78,A,1,0,309653000,19.1,1,-132.7174167,53.02706667,328.5,330,0,8
29,P,Parke,A,2018,5,1,2,56,10,GMT,79,A,1,0,316009844,0,0,-122.9111633,49.19969167,275.2,511,15,10
30,P,Texada,A,2018,5,1,2,56,10,GMT,80,A,1,0,316004661,6.2,1,-124.167275,49.58289667,140.9,139,0,11
31,P,VanInlet,A,2018,5,1,2,56,10,GMT,92,A,1,0,366948190,14.3,1,-134.2420183,51.42889833,301.2,302,0,9
32,P,Newton,A,2018,5,1,2,56,10,GMT,106,A,1,0,316009418,3.1,1,-123.3911667,48.85416667,130,120,0,9
33,P,Parke,B,2018,5,1,2,56,10,GMT,110,A,1,0,316002054,0,1,-122.9202333,49.193205,311.3,511,0,11
34,P,WestVan,A,2018,5,1,2,56,10,GMT,113,A,1,0,367638480,0,0,-122.4934583,48.75454,0,511,15,10
35,P,Parke,B,2018,5,1,2,56,10,GMT,121,A,3,0,316001269,14.1,1,-123.31158,48.85923667,38.2,30,0,10
36,P,WestVan,B,2018,5,1,2,56,10,GMT,123,A,1,0,316022149,0,1,-123.0291817,49.298865,246.1,179,0,32
37,P,Hays,A,2018,5,1,2,56,10,GMT,124,A,1,0,316011473,0,1,-130.3564833,54.29226667,99,511,0,8
38,P,Naden,A,2018,5,1,2,56,10,GMT,125,A,1,0,538007063,15.5,0,-134.078075,54.35114667,87.5,92,0,30
39,P,Newton,B,2018,5,1,2,56,11,GMT,128,A,3,0,316009165,1.6,0,-122.9603233,49.15823,288.4,273,0,11
40,P,Newton,B,2018,5,1,2,56,11,GMT,132,A,1,0,316001267,11.7,1,-123.4455633,48.76181667,146,144,0,10
41,P,Dundas,A,2018,5,1,2,56,11,GMT,133,A,1,0,366947620,18.2,0,-131.07733,55.00689833,338.7,511,0,11
42,P,WestVan,A,2018,5,1,2,56,11,GMT,135,A,3,0,316018634,1.6,0,-123.0018333,49.19183333,128.4,87,0,11
43,P,WestVan,A,2018,5,1,2,56,11,GMT,137,A,1,0,316011504,9.3,0,-123.5092017,49.15218833,294.1,289,0,11
44,P,Helmcken,B,2018,5,1,2,56,11,GMT,140,A,1,0,538007486,14.1,1,-124.303825,48.39490833,295,295,0,56
45,P,Texada,B,2018,5,1,2,56,11,GMT,144,A,1,0,316030644,0,1,-124.8460667,49.526605,308.4,240,3,11
46,P,Annacis,B,2018,5,1,2,56,11,GMT,145,A,3,0,316003289,11.2,1,-123.1708533,49.11172333,116.3,114,0,10
47,P,Ozzard,A,2018,5,1,2,56,11,GMT,154,A,1,0,316003768,0,0,-125.551255,48.947335,261.9,511,0,10
48,P,AlertBay,A,2018,5,1,2,56,11,GMT,155,A,1,0,316028366,0.1,1,-127.472055,50.72276833,301.9,511,15,12
49,P,Hays,B,2018,5,1,2,56,11,GMT,156,A,1,0,368013040,9.6,0,-131.13484,54.52351167,349.9,354,0,10
50,P,Naden,B,2018,5,1,2,56,11,GMT,161,A,1,0,316052000,4.5,1,-133.8916083,53.7242,159.1,155,0,10
52,P,Bowen,A,2018,5,1,2,56,11,GMT,168,A,1,0,316001266,0,1,-123.8593833,49.177885,18.8,96,0,10
53,P,WestVan,A,2018,5,1,2,56,11,GMT,171,A,1,0,316031266,0,0,-123.145675,49.20373,201.9,511,15,11
54,P,Newton,B,2018,5,1,2,56,11,GMT,172,A,1,0,367326780,0,1,-123.4505767,48.12422167,0,511,0,11
56,P,Texada,B,2018,5,1,2,56,11,GMT,182,A,1,0,316003544,0,1,-124.35606,49.34941333,206.5,27,0,10
57,P,Dundas,B,2018,5,1,2,56,11,GMT,183,A,1,0,369514000,9.7,0,-131.0547817,54.923245,343,344,0,12
58,P,Discovery,A,2018,5,1,2,56,11,GMT,184,A,1,0,316001271,0,0,-125.0539467,50.10966167,20.4,20,0,11
60,P,Parke,A,2018,5,1,2,56,11,GMT,189,A,1,0,316005651,0,0,-122.9108217,49.19985667,264.1,511,15,11
61,P,AlertBay,B,2018,5,1,2,56,11,GMT,190,A,1,0,316009248,0,1,-127.0319967,50.64200667,327.9,511,0,12
62,P,Bowen,B,2018,5,1,2,56,11,GMT,191,A,1,0,316003900,1.6,1,-123.0362,49.143935,276.1,90,8,11
63,P,Newton,B,2018,5,1,2,56,11,GMT,195,A,1,0,303304000,10.5,0,-122.73712,48.52760333,352.3,353,0,11
64,P,Helmcken,A,2018,5,1,2,56,11,GMT,196,A,1,0,538004288,11.2,1,-124.9225917,48.5243,268.3,270,0,28
65,P,WestVan,B,2018,5,1,2,56,11,GMT,197,A,1,0,316031048,3.7,1,-123.0514717,49.29750667,33.8,267,8,12
66,P,Calvert,A,2018,5,1,2,56,11,GMT,202,A,1,0,316004328,9.6,1,-127.8888167,51.2927,194.2,191,0,9
67,P,Parke,B,2018,5,1,2,56,11,GMT,207,A,1,0,367119980,9.4,0,-122.6185183,48.689115,109.7,511,0,12
68,P,Hays,A,2018,5,1,2,56,11,GMT,208,A,1,0,366919560,0,1,-131.56054,55.26824333,285.1,121,0,11
69,P,Parke,A,2018,5,1,2,56,11,GMT,214,A,3,0,316014836,3.5,0,-123.76235,49.45942167,17.2,19,0,12
70,P,Parke,A,2018,5,1,2,56,11,GMT,215,A,3,0,316014621,4.2,0,-123.0844083,49.308805,36.2,35,0,12
71,P,Ozzard,A,2018,5,1,2,56,11,GMT,216,A,1,0,538006893,8.2,1,-126.0095633,48.42564833,90.1,87,0,10
72,P,Alberni,B,2018,5,1,2,56,11,GMT,217,A,1,0,316005713,0.1,0,-124.813745,49.23592,200.5,511,0,10
73,P,Newton,A,2018,5,1,2,56,12,GMT,224,A,3,0,316003800,7.9,1,-123.2081783,48.55683333,345.1,350,0,11
74,P,Parke,B,2018,5,1,2,56,12,GMT,227,A,1,0,316003663,0,1,-123.1068333,49.31225,195,5,0,11
75,P,WestVan,B,2018,5,1,2,56,12,GMT,231,A,1,0,431221000,15.8,1,-123.1989867,48.97093833,312.7,313,0,11
76,P,Dundas,B,2018,5,1,2,56,12,GMT,232,A,1,0,366810080,6.5,1,-132.22132,54.68371333,278.6,511,0,12
77,P,Ozzard,A,2018,5,1,2,56,12,GMT,233,A,1,0,316002059,8.7,0,-124.8822517,47.93467667,167.6,167,0,11
78,P,Ozzard,B,2018,5,1,2,56,12,GMT,245,A,1,0,431315000,14,1,-123.837125,48.281675,278.1,278,0,60
79,P,Helmcken,B,2018,5,1,2,56,12,GMT,246,A,1,0,303465000,0,0,-123.4553867,48.13717667,222.6,252,0,12
80,P,Dundas,A,2018,5,1,2,56,12,GMT,247,A,1,0,316182000,11,1,-130.3649,54.21561667,279,279,0,60
81,P,Ozzard,A,2018,5,1,2,56,12,GMT,248,A,1,0,316003514,0,0,-125.54138,48.94129,263.4,316,0,1
82,P,Annacis,B,2018,5,1,2,56,12,GMT,252,A,3,0,316007654,1.2,0,-122.8793467,49.22400333,46.8,31,0,12
83,P,Dundas,B,2018,5,1,2,56,12,GMT,253,A,1,0,316021595,0,1,-130.2793383,54.33138333,75.2,195,0,11
84,P,Annacis,B,2018,5,1,2,56,12,GMT,254,A,1,0,316011746,5.6,0,-123.8567733,49.20902667,67.2,70,0,13
85,P,Helmcken,B,2018,5,1,2,56,12,GMT,258,A,1,0,311918000,16,0,-123.6124217,48.26784333,278.6,276,0,13
86,P,Parke,A,2018,5,1,2,56,12,GMT,259,A,3,0,218427000,0,0,-123.1476567,49.02314167,226.4,31,5,13
87,P,Calvert,B,2018,5,1,2,56,12,GMT,262,A,1,0,316006155,3,1,-127.9654217,51.85233,18.5,13,11,12
88,P,Parke,A,2018,5,1,2,56,12,GMT,270,A,1,0,316023608,11.7,0,-122.9261133,49.17485,200.5,511,15,13
89,P,Newton,B,2018,5,1,2,56,12,GMT,275,A,1,0,316034095,0,0,-123.3707067,48.42147667,88.5,204,0,11
90,P,Bowen,B,2018,5,1,2,56,12,GMT,276,A,1,0,368085000,0,0,-123.0784717,49.306995,305.6,214,0,60
91,P,Annacis,A,2018,5,1,2,56,12,GMT,283,A,3,0,316024235,8.5,1,-123.8234033,49.144595,94.1,91,11,13
92,P,Newton,A,2018,5,1,2,56,12,GMT,296,A,1,0,316148000,0.1,0,-123.47725,48.66071167,0,125,0,11
93,P,Ozzard,B,2018,5,1,2,56,12,GMT,297,A,1,0,316195000,15.3,0,-124.63429,48.485135,293.6,294,0,11
94,P,WestVan,A,2018,5,1,2,56,12,GMT,305,A,1,0,316031481,0,1,-122.3166283,49.12279,301.6,511,0,13
95,P,Parke,A,2018,5,1,2,56,12,GMT,311,A,3,0,316003289,11.2,1,-123.1707117,49.11167833,115.9,114,0,12
96,P,Ozzard,A,2018,5,1,2,56,12,GMT,313,A,3,0,311834000,11.7,1,-125.655,48.43048333,83,83,0,10
97,P,Annacis,A,2018,5,1,2,56,12,GMT,318,A,3,0,316001251,13.1,1,-123.2705133,49.380855,350,349,0,12
98,P,Calvert,A,2018,5,1,2,56,12,GMT,321,A,3,0,316007789,8.4,1,-128.9459917,51.32661333,305.3,308,0,14
99,P,Discovery,A,2018,5,1,2,56,11,GMT,323,A,1,0,316008770,0,0,-125.960775,50.39773,219,160,0,12
100,P,Newton,B,2018,5,1,2,56,12,GMT,329,A,1,0,316014054,0,0,-123.08564,49.12444833,0,511,15,10
101,P,Parke,A,2018,5,1,2,56,12,GMT,330,A,1,0,316033399,8.6,1,-123.4733533,49.49941,343.9,343,5,13
102,P,Helmcken,A,2018,5,1,2,56,12,GMT,332,A,1,0,366824910,0,0,-123.425635,48.140555,329,292,15,13
103,P,Bowen,B,2018,5,1,2,56,13,GMT,337,A,1,0,316009843,0,0,-122.92392,49.17037333,341,511,0,13
104,P,Newton,A,2018,5,1,2,56,13,GMT,338,A,1,0,316033814,3.8,0,-123.4065717,48.68911667,53.1,233,0,13
105,P,Helmcken,B,2018,5,1,2,56,13,GMT,343,A,1,0,369950000,3.1,0,-123.0276367,48.24681,274.2,511,15,12
106,P,Parke,B,2018,5,1,2,56,13,GMT,350,A,1,0,316011407,18.9,1,-123.3525083,48.85266667,200.6,199,0,12
107,P,Texada,B,2018,5,1,2,56,13,GMT,352,A,1,0,316030917,0.4,1,-125.233675,50.07868167,267.1,334,0,13
108,P,Helmcken,A,2018,5,1,2,56,13,GMT,353,A,1,0,366709770,0,1,-122.94346,48.597095,331.1,330,8,13
109,P,Cumshewa,B,2018,5,1,2,56,13,GMT,354,A,1,0,316001023,0,0,-130.31581,54.32132833,330,327,0,11
110,P,Hays,B,2018,5,1,2,56,13,GMT,356,A,1,0,316013397,0.1,0,-130.3558333,54.29228333,325,115,0,13
111,P,Annacis,B,2018,5,1,2,56,13,GMT,357,A,1,0,316018619,4.4,0,-122.91475,49.19681667,59.3,148,15,13
112,P,Ozzard,B,2018,5,1,2,56,13,GMT,359,A,1,0,373821000,14.1,1,-127.1420633,48.58322333,95.3,93,0,9
113,P,WestVan,A,2018,5,1,2,56,13,GMT,362,A,3,0,316018851,10.9,0,-123.1726667,49.31583333,84,84,0,12
114,P,Parke,A,2018,5,1,2,56,13,GMT,363,A,3,0,316001269,14,1,-123.31146,48.85934,36.5,29,0,12
115,P,Kitimat,B,2018,5,1,2,56,13,GMT,368,A,1,0,477049800,0,1,-128.69285,53.99681667,287,354,0,11
116,P,HardyRamp,A,2018,5,1,2,56,13,GMT,369,A,1,0,316002764,0,0,-127.4855883,50.709345,183.7,511,7,13
117,P,Kitimat,B,2018,5,1,2,56,13,GMT,372,A,3,0,316005611,0,0,-128.6950433,53.98965167,360,511,5,13
118,P,WestVan,B,2018,5,1,2,56,13,GMT,373,A,1,0,316005667,0.1,0,-123.932445,49.168995,191.6,189,7,13
119,P,Parke,A,2018,5,1,2,56,13,GMT,374,A,1,0,316020878,0,1,-122.7709817,49.23098667,234,38,0,14
120,P,Cumshewa,A,2018,5,1,2,56,13,GMT,375,A,1,0,316006786,8.6,0,-130.2168933,53.74854667,5,511,15,13
121,P,Newton,A,2018,5,1,2,56,13,GMT,377,A,1,0,316005624,0,0,-123.0606733,49.29034667,197.7,511,15,13
122,P,Newton,B,2018,5,1,2,56,13,GMT,380,A,1,0,316006345,0,0,-122.839145,49.22228,290.5,511,0,63
123,P,Discovery,A,2018,5,1,2,56,13,GMT,390,A,1,0,316005618,11,0,-124.9393517,49.88296167,286.7,511,0,13
124,P,Parke,B,2018,5,1,2,56,13,GMT,391,A,1,0,3160184,0,0,-124.0856,49.29448333,328.9,359,15,14
125,P,WestVan,A,2018,5,1,2,56,13,GMT,392,A,1,0,316005616,9.6,1,-123.0632517,49.13064667,49.7,511,11,14
126,P,Newton,A,2018,5,1,2,56,13,GMT,395,A,1,0,316005496,5.1,0,-123.349805,48.77832667,180.8,183,5,13
127,P,Ozzard,A,2018,5,1,2,56,13,GMT,396,A,1,0,369580000,12.7,0,-125.1745717,48.32455833,199.5,200,0,14
128,P,Parke,A,2018,5,1,2,56,13,GMT,398,A,1,0,316001885,0.9,1,-124.31025,49.72558833,120.5,511,0,13
129,P,Helmcken,B,2018,5,1,2,56,13,GMT,406,A,1,0,316010415,12.5,1,-123.0623333,48.75433333,57,66,0,12
130,P,Ozzard,A,2018,5,1,2,56,13,GMT,407,A,1,0,316015632,0,0,-125.556535,48.950195,260.9,511,7,13
131,P,Parke,B,2018,5,1,2,56,13,GMT,412,A,1,0,316034963,6.6,0,-123.0820133,49.200745,247.3,246,0,12
132,P,WestVan,A,2018,5,1,2,56,13,GMT,413,A,1,0,316005721,8.4,0,-123.0306983,49.29514167,270.3,511,0,12
133,P,Helmcken,B,2018,5,1,2,56,13,GMT,423,A,1,0,367494020,0,1,-122.6175,48.52086,292.5,251,0,14
134,P,Parke,A,2018,5,1,2,56,13,GMT,425,A,1,0,316005623,9.1,0,-123.0519267,49.29412167,242.6,511,15,13
135,P,Bowen,A,2018,5,1,2,56,13,GMT,426,A,1,0,316001358,6.1,1,-124.4509717,49.48133667,310.9,309,0,13
136,P,Ozzard,B,2018,5,1,2,56,14,GMT,445,A,1,0,316023833,2.6,0,-126.5505333,48.8214,322.6,322,0,13
137,P,WestVan,B,2018,5,1,2,56,14,GMT,446,A,1,0,316014803,0,1,-123.9559817,49.20998833,319.7,319,0,14
138,P,Hays,B,2018,5,1,2,56,14,GMT,447,A,1,0,316006722,18.9,1,-130.63291,54.30901,91.3,511,0,13
139,P,Helmcken,A,2018,5,1,2,56,14,GMT,452,A,1,0,367186180,0,0,-122.7825933,48.10648667,260.9,511,0,14
140,P,Ozzard,B,2018,5,1,2,56,14,GMT,453,A,1,0,316005998,2.9,1,-126.4919817,48.77196833,272.1,285,0,2
141,P,WestVan,B,2018,5,1,2,56,14,GMT,454,A,3,0,316003666,0,1,-123.10679,49.312315,343.5,91,0,13
142,P,Dundas,A,2018,5,1,2,56,14,GMT,455,A,1,0,316005559,0,0,-130.2655783,54.318725,66.8,511,0,14
143,P,Bowen,A,2018,5,1,2,56,14,GMT,457,A,1,0,368010320,7,1,-124.32133,49.55517167,122.7,122,0,13
144,P,Discovery,B,2018,5,1,2,56,14,GMT,462,A,1,0,316002500,0,0,-125.2444783,50.03727333,254.5,168,15,15
145,P,WestVan,A,2018,5,1,2,56,14,GMT,463,A,1,0,316001262,19.5,1,-123.6146533,49.28655167,255.6,256,0,13
146,P,Annacis,B,2018,5,1,2,56,14,GMT,466,A,3,0,316024235,8.5,1,-123.8232867,49.14459167,93.3,86,11,15
147,P,Parke,A,2018,5,1,2,56,14,GMT,467,A,1,0,316003678,7.9,0,-124.0235483,49.37993333,103.6,101,0,13
148,P,Discovery,B,2018,5,1,2,56,14,GMT,468,A,1,0,316019447,7.2,0,-124.7977883,49.7582,122.8,511,15,14
149,P,Parke,B,2018,5,1,2,56,14,GMT,470,A,1,0,303496000,9.3,1,-123.896465,49.33577833,127.6,130,0,15
150,P,Newton,A,2018,5,1,2,56,14,GMT,474,A,1,0,316030626,0,1,-123.1297,49.00579333,107.8,18,0,13
151,P,Newton,A,2018,5,1,2,56,14,GMT,475,A,1,0,367334040,0,0,-123.405815,48.67009167,307.1,511,15,15
152,P,Ozzard,A,2018,5,1,2,56,14,GMT,479,A,1,0,538002594,12.9,0,-125.2016183,48.51198667,269.9,278,0,15
153,P,Annacis,A,2018,5,1,2,56,14,GMT,480,A,1,0,316033419,0,0,-123.8716367,49.14422167,223.3,196,0,15
154,P,WestVan,B,2018,5,1,2,56,14,GMT,481,A,3,0,316014621,4.1,0,-123.0843767,49.30883333,35.8,35,0,15
155,P,Ozzard,A,2018,5,1,2,56,14,GMT,482,A,3,0,212125000,13,1,-126.3490367,48.46685667,87.9,91,0,14
156,P,Bowen,A,2018,5,1,2,56,14,GMT,483,A,1,0,316013198,0,1,-123.0902233,49.20587667,325.8,511,0,15
157,P,AlertBay,B,2018,5,1,2,56,14,GMT,484,A,1,0,316005605,6.2,1,-126.8131533,50.580265,170,162,0,14
158,P,Parke,B,2018,5,1,2,56,14,GMT,485,A,3,0,316018619,4.1,0,-122.91475,49.19683333,57.8,144,15,15
159,P,Bowen,A,2018,5,1,2,56,14,GMT,486,A,1,0,316009842,6.5,0,-123.271,49.254535,132.1,511,0,63
160,P,Discovery,A,2018,5,1,2,56,14,GMT,487,A,1,0,316001821,7.9,0,-126.2351817,50.48203,103.6,511,0,13
161,P,Bowen,A,2018,5,1,2,56,14,GMT,488,A,1,0,316012751,0,0,-123.12397,49.29116167,133.3,219,0,15
162,P,WestVan,B,2018,5,1,2,56,14,GMT,489,A,1,0,316026483,0,1,-123.022755,49.30183167,74.3,511,0,14
163,P,Ozzard,B,2018,5,1,2,56,14,GMT,494,A,3,0,311834000,11.7,1,-125.6548333,48.4305,83,83,0,11
164,P,Parke,A,2018,5,1,2,56,14,GMT,495,A,1,0,316028554,8.2,1,-123.1064117,49.28792833,227.5,230,8,15
165,P,Newton,B,2018,5,1,2,56,14,GMT,497,A,1,0,316003483,0,0,-122.8904417,49.20772833,296.3,511,0,15
166,P,Texada,A,2018,5,1,2,56,14,GMT,498,A,1,0,258599000,12.2,0,-125.176535,49.98062333,307,312,0,12
167,P,Newton,A,2018,5,1,2,56,14,GMT,501,A,3,0,316007654,1,0,-122.879335,49.22401167,46.8,30,0,15
168,P,Helmcken,B,2018,5,1,2,56,14,GMT,505,A,1,0,366773030,19,1,-122.95501,48.53932167,96.2,97,15,15
169,P,Bowen,A,2018,5,1,2,56,15,GMT,506,A,1,0,367480140,0.2,1,-122.869295,48.640915,258.3,156,0,15
170,P,Helmcken,A,2018,5,1,2,56,15,GMT,507,A,1,0,241016000,9.1,1,-123.4062,48.32418333,17,16,0,15
171,P,Newton,A,2018,5,1,2,56,15,GMT,508,A,3,0,316021351,0,0,-123.1328567,49.29478333,308.1,511,0,15
172,P,Parke,B,2018,5,1,2,56,15,GMT,510,A,1,0,316009219,8.8,1,-123.1078333,49.30063333,122,123,0,13
173,P,Helmcken,A,2018,5,1,2,56,15,GMT,511,A,1,0,440202000,15.3,1,-124.729925,48.47447167,115.2,114,0,13
174,P,AlertBay,A,2018,5,1,2,56,15,GMT,512,A,1,0,316007942,0,1,-127.48706,50.71036667,190,220,0,15
175,P,Holberg,B,2018,5,1,2,56,14,GMT,515,A,1,0,316002916,0,0,-127.7871883,50.47445,289.2,229,15,14
176,P,Hays,B,2018,5,1,2,56,15,GMT,516,A,1,0,316003137,0,0,-130.26635,54.3187,254.7,56,0,15
177,P,Dundas,A,2018,5,1,2,56,15,GMT,517,A,1,0,316028782,0,1,-130.356165,54.29267833,133.4,297,0,15
178,P,Dundas,A,2018,5,1,2,56,15,GMT,518,A,1,0,367438220,7.7,1,-131.0662967,54.25457333,337.9,333,0,15
179,P,AlertBay,B,2018,5,1,2,56,15,GMT,522,A,1,0,316002915,0,0,-127.48781,50.71470667,268.1,511,7,14
180,P,Calvert,B,2018,5,1,2,56,15,GMT,523,A,1,0,366785220,8,1,-128.032495,51.65396,270.2,511,0,15
181,P,Calvert,A,2018,5,1,2,56,15,GMT,524,A,1,0,316002919,8.3,0,-128.1536067,50.86997333,65.1,73,5,14
182,P,Parke,A,2018,5,1,2,56,15,GMT,526,A,1,0,316013411,8.4,1,-123.543925,48.925985,129,128,0,14
183,P,Parke,B,2018,5,1,2,56,15,GMT,527,A,3,0,316001269,14.1,1,-123.3113433,48.85944667,35.5,27,0,14
184,P,Annacis,B,2018,5,1,2,56,15,GMT,528,A,1,0,316028292,0,1,-123.0336983,49.20076833,200,511,0,15
185,P,Dundas,B,2018,5,1,2,56,15,GMT,534,A,1,0,316005609,0,0,-130.3556167,54.29205833,9.7,511,0,15
186,P,Annacis,B,2018,5,1,2,56,15,GMT,542,A,1,0,316031352,5.3,1,-122.4019233,49.15408,321.3,511,0,16
187,P,Bowen,A,2018,5,1,2,56,15,GMT,543,A,3,0,316009165,1.2,0,-122.960345,49.15823667,289.5,275,0,16
188,P,Parke,B,2018,5,1,2,56,15,GMT,548,A,1,0,368006870,7.8,1,-123.02973,49.29490167,276.2,274,0,14
189,P,Newton,B,2018,5,1,2,56,15,GMT,553,A,1,0,369035000,0,1,-122.51292,48.72248,360,511,0,15
190,P,Parke,A,2018,5,1,2,56,15,GMT,555,A,1,0,367480370,0,1,-122.4862933,48.75202333,317.5,48,15,15
191,P,Holberg,B,2018,5,1,2,56,15,GMT,556,A,1,0,316003600,8.1,1,-128.2201667,50.45533333,300,301,0,15
192,P,Annacis,A,2018,5,1,2,56,15,GMT,557,A,1,0,316014014,0,0,-123.1006117,49.28629167,339.3,511,0,16
193,P,Rose,B,2018,5,1,2,56,15,GMT,569,A,1,0,367579350,10,1,-129.6297533,53.14830833,151.6,154,11,14
194,P,Helmcken,B,2018,5,1,2,56,15,GMT,579,A,1,0,229857000,18.1,1,-124.9421167,48.47511667,90.2,88,0,12
195,P,Newton,B,2018,5,1,2,56,15,GMT,580,A,1,0,316005718,8.7,0,-122.98559,49.18206833,300.1,511,0,14
196,P,Texada,A,2018,5,1,2,56,15,GMT,581,A,3,0,316005416,5.7,1,-125.165965,49.969545,138.5,134,0,15
197,P,WestVan,B,2018,5,1,2,56,15,GMT,585,A,1,0,316004658,4.7,0,-123.0648,49.29408333,94.5,511,0,32
198,P,Newton,B,2018,5,1,2,56,15,GMT,586,A,3,0,316003800,7.9,1,-123.2082317,48.556975,346.2,349,0,15
199,P,Bowen,A,2018,5,1,2,56,15,GMT,587,A,1,0,316011773,10,1,-124.1660733,49.61666667,325.8,327,0,15
200,P,Naden,B,2018,5,1,2,56,15,GMT,588,A,1,0,309653000,19,1,-132.7177667,53.02745,330,330,0,13
201,P,Ozzard,A,2018,5,1,2,56,15,GMT,589,A,1,0,257613000,9,1,-126.5017567,48.52468667,97.3,94,0,14
202,P,Ozzard,B,2018,5,1,2,56,16,GMT,591,A,1,0,355784000,11.5,0,-125.2553,48.71023333,300,300,0,12
203,P,Watts,B,2018,5,1,2,56,15,GMT,592,A,3,0,316001251,13.6,1,-123.2705667,49.38103833,348.4,348,0,15
204,P,Parke,A,2018,5,1,2,56,16,GMT,593,A,1,0,316001242,10.5,1,-124.5888333,49.8155,245,240,0,15
205,P,WestVan,B,2018,5,1,2,56,16,GMT,594,A,1,0,316011730,2.1,1,-122.683105,49.197085,114.5,111,0,46
206,P,Parke,B,2018,5,1,2,56,16,GMT,595,A,1,0,316005845,0,0,-123.0603583,49.29047333,21.4,511,0,16
207,P,Ozzard,B,2018,5,1,2,56,16,GMT,597,A,1,0,368637000,7.1,0,-124.9662933,48.17636833,343.5,511,0,16
208,P,Newton,B,2018,5,1,2,56,16,GMT,598,A,1,0,316001731,0,1,-123.02271,49.30121833,217.8,174,0,14
209,P,Parke,B,2018,5,1,2,56,16,GMT,604,A,3,0,316018634,1.8,0,-123.0018333,49.19166667,131.2,94,0,16
